x,y,生态类型,生态属性,人口,人员信息,农场数量,农场信息,生态名称
43,69,land,house,4,"[{'age': 4, 'gender': 'male'}, {'age': 17, 'gender': 'female'}, {'age': 32, 'gender': 'male'}, {'age': 54, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [43, 69], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
43,69,land,house,4,"[{'age': 4, 'gender': 'male'}, {'age': 17, 'gender': 'female'}, {'age': 32, 'gender': 'male'}, {'age': 54, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [43, 69], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
47,69,land,house,1,"[{'age': 19, 'gender': 'male'}]",2,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""铃兰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
47,69,land,house,1,"[{'age': 19, 'gender': 'male'}]",2,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""铃兰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [47, 69], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
52,68,land,house,2,"[{'age': 76, 'gender': 'female'}, {'age': 34, 'gender': 'male'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [52, 68], ""envi"": ""land"", ""house"": null, ""plant"": ""苹果"", ""animal"": null, ""biomeType"": ""plant""}}]",
52,68,land,house,2,"[{'age': 76, 'gender': 'female'}, {'age': 34, 'gender': 'male'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [52, 68], ""envi"": ""land"", ""house"": null, ""plant"": ""苹果"", ""animal"": null, ""biomeType"": ""plant""}}]",
34,64,land,house,2,"[{'age': 5, 'gender': 'male'}, {'age': 27, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": ""枫树"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
34,64,land,house,2,"[{'age': 5, 'gender': 'male'}, {'age': 27, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": ""枫树"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [34, 64], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
31,55,land,house,4,"[{'age': 8, 'gender': 'male'}, {'age': 15, 'gender': 'male'}, {'age': 21, 'gender': 'female'}, {'age': 28, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
31,55,land,house,4,"[{'age': 8, 'gender': 'male'}, {'age': 15, 'gender': 'male'}, {'age': 21, 'gender': 'female'}, {'age': 28, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [31, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
34,55,land,house,2,"[{'age': 26, 'gender': 'female'}, {'age': 54, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [34, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""红蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""pond"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [34, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鹿"", ""biomeType"": ""animal""}}]",
34,55,land,house,2,"[{'age': 26, 'gender': 'female'}, {'age': 54, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [34, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""红蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""pond"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [34, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鹿"", ""biomeType"": ""animal""}}]",
30,50,land,house,2,"[{'age': 64, 'gender': 'male'}, {'age': 77, 'gender': 'female'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [30, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸭"", ""biomeType"": ""animal""}}]",
30,50,land,house,2,"[{'age': 64, 'gender': 'male'}, {'age': 77, 'gender': 'female'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [30, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸭"", ""biomeType"": ""animal""}}]",
34,50,land,house,4,"[{'age': 79, 'gender': 'male'}, {'age': 70, 'gender': 'male'}, {'age': 58, 'gender': 'male'}, {'age': 56, 'gender': 'female'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [34, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
34,50,land,house,4,"[{'age': 79, 'gender': 'male'}, {'age': 70, 'gender': 'male'}, {'age': 58, 'gender': 'male'}, {'age': 56, 'gender': 'female'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [34, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
44,35,land,house,3,"[{'age': 60, 'gender': 'female'}, {'age': 49, 'gender': 'male'}, {'age': 8, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [44, 35], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}]",
44,35,land,house,3,"[{'age': 60, 'gender': 'female'}, {'age': 49, 'gender': 'male'}, {'age': 8, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [44, 35], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}]",
49,34,land,house,4,"[{'age': 5, 'gender': 'female'}, {'age': 22, 'gender': 'male'}, {'age': 40, 'gender': 'female'}, {'age': 79, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [49, 34], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
49,34,land,house,4,"[{'age': 5, 'gender': 'female'}, {'age': 22, 'gender': 'male'}, {'age': 40, 'gender': 'female'}, {'age': 79, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [49, 34], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
62,55,land,house,4,"[{'age': 8, 'gender': 'male'}, {'age': 61, 'gender': 'male'}, {'age': 25, 'gender': 'male'}, {'age': 25, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [62, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
62,55,land,house,4,"[{'age': 8, 'gender': 'male'}, {'age': 61, 'gender': 'male'}, {'age': 25, 'gender': 'male'}, {'age': 25, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [62, 55], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
66,55,land,house,2,"[{'age': 12, 'gender': 'female'}, {'age': 40, 'gender': 'female'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [66, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""白蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}]",
66,55,land,house,2,"[{'age': 12, 'gender': 'female'}, {'age': 40, 'gender': 'female'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [66, 55], ""envi"": ""land"", ""house"": null, ""plant"": ""白蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}]",
62,50,land,house,4,"[{'age': 61, 'gender': 'male'}, {'age': 64, 'gender': 'female'}, {'age': 45, 'gender': 'male'}, {'age': 54, 'gender': 'female'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [62, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""牛"", ""biomeType"": ""animal""}}]",
62,50,land,house,4,"[{'age': 61, 'gender': 'male'}, {'age': 64, 'gender': 'female'}, {'age': 45, 'gender': 'male'}, {'age': 54, 'gender': 'female'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [62, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""牛"", ""biomeType"": ""animal""}}]",
65,50,land,house,4,"[{'age': 61, 'gender': 'female'}, {'age': 7, 'gender': 'male'}, {'age': 36, 'gender': 'female'}, {'age': 51, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [65, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""羊"", ""biomeType"": ""animal""}}, {""featureType"": ""seaFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [65, 50], ""envi"": ""land"", ""house"": null, ""plant"": ""白蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}]",
65,50,land,house,4,"[{'age': 61, 'gender': 'female'}, {'age': 7, 'gender': 'male'}, {'age': 36, 'gender': 'female'}, {'age': 51, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [65, 50], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""羊"", ""biomeType"": ""animal""}}, {""featureType"": ""seaFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [65, 50], ""envi"": ""land"", ""house"": null, ""plant"": ""白蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}]",
62,46,land,house,3,"[{'age': 60, 'gender': 'male'}, {'age': 69, 'gender': 'female'}, {'age': 9, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [62, 46], ""envi"": ""land"", ""house"": null, ""plant"": ""葡萄藤"", ""animal"": null, ""biomeType"": ""plant""}}]",
62,46,land,house,3,"[{'age': 60, 'gender': 'male'}, {'age': 69, 'gender': 'female'}, {'age': 9, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [62, 46], ""envi"": ""land"", ""house"": null, ""plant"": ""葡萄藤"", ""animal"": null, ""biomeType"": ""plant""}}]",
65,46,land,house,3,"[{'age': 20, 'gender': 'female'}, {'age': 57, 'gender': 'male'}, {'age': 24, 'gender': 'male'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [65, 46], ""envi"": ""land"", ""house"": null, ""plant"": ""白蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [65, 46], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}]",
65,46,land,house,3,"[{'age': 20, 'gender': 'female'}, {'age': 57, 'gender': 'male'}, {'age': 24, 'gender': 'male'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [65, 46], ""envi"": ""land"", ""house"": null, ""plant"": ""白蘑菇"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [65, 46], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}]",
33,82,sea,house,3,"[{'age': 24, 'gender': 'male'}, {'age': 74, 'gender': 'male'}, {'age': 71, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [33, 82], ""envi"": ""sea"", ""house"": null, ""plant"": null, ""animal"": ""鸭子"", ""biomeType"": ""animal""}}]",
33,82,sea,house,3,"[{'age': 24, 'gender': 'male'}, {'age': 74, 'gender': 'male'}, {'age': 71, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [33, 82], ""envi"": ""sea"", ""house"": null, ""plant"": null, ""animal"": ""鸭子"", ""biomeType"": ""animal""}}]",
38,87,sea,house,2,"[{'age': 0, 'gender': 'male'}, {'age': 79, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [38, 87], ""envi"": ""sea"", ""house"": null, ""plant"": null, ""animal"": ""三文鱼"", ""biomeType"": ""animal""}}]",
38,87,sea,house,2,"[{'age': 0, 'gender': 'male'}, {'age': 79, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [38, 87], ""envi"": ""sea"", ""house"": null, ""plant"": null, ""animal"": ""三文鱼"", ""biomeType"": ""animal""}}]",
26,69,sea,house,3,"[{'age': 0, 'gender': 'male'}, {'age': 62, 'gender': 'female'}, {'age': 20, 'gender': 'male'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [26, 69], ""envi"": ""sea"", ""house"": null, ""plant"": ""芦苇"", ""animal"": null, ""biomeType"": ""plant""}}]",
26,69,sea,house,3,"[{'age': 0, 'gender': 'male'}, {'age': 62, 'gender': 'female'}, {'age': 20, 'gender': 'male'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [26, 69], ""envi"": ""sea"", ""house"": null, ""plant"": ""芦苇"", ""animal"": null, ""biomeType"": ""plant""}}]",
22,56,sea,house,3,"[{'age': 38, 'gender': 'female'}, {'age': 48, 'gender': 'female'}, {'age': 7, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [22, 56], ""envi"": ""sea"", ""house"": null, ""plant"": ""水稻"", ""animal"": null, ""biomeType"": ""plant""}}]",
22,56,sea,house,3,"[{'age': 38, 'gender': 'female'}, {'age': 48, 'gender': 'female'}, {'age': 7, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [22, 56], ""envi"": ""sea"", ""house"": null, ""plant"": ""水稻"", ""animal"": null, ""biomeType"": ""plant""}}]",
29,38,sea,house,1,"[{'age': 56, 'gender': 'female'}]",2,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [29, 38], ""envi"": ""sea"", ""house"": null, ""plant"": null, ""animal"": ""三文鱼"", ""biomeType"": ""animal""}}, {""featureType"": ""seaFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [29, 38], ""envi"": ""sea"", ""house"": null, ""plant"": ""水葱"", ""animal"": null, ""biomeType"": ""plant""}}]",
29,38,sea,house,1,"[{'age': 56, 'gender': 'female'}]",2,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [29, 38], ""envi"": ""sea"", ""house"": null, ""plant"": null, ""animal"": ""三文鱼"", ""biomeType"": ""animal""}}, {""featureType"": ""seaFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [29, 38], ""envi"": ""sea"", ""house"": null, ""plant"": ""水葱"", ""animal"": null, ""biomeType"": ""plant""}}]",
43,27,sea,house,3,"[{'age': 27, 'gender': 'female'}, {'age': 37, 'gender': 'female'}, {'age': 24, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [43, 27], ""envi"": ""sea"", ""house"": null, ""plant"": ""海带"", ""animal"": null, ""biomeType"": ""plant""}}]",
43,27,sea,house,3,"[{'age': 27, 'gender': 'female'}, {'age': 37, 'gender': 'female'}, {'age': 24, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [43, 27], ""envi"": ""sea"", ""house"": null, ""plant"": ""海带"", ""animal"": null, ""biomeType"": ""plant""}}]",
